Key,File,Type,UsedInMainMenu,NoTranslate,english
drugRemedyStress,items,Medical,,,Sedatives,
drugRemedyStressDesc,items,Medical,,,Sedatives reduce stress.,
drugRemedyLunacy,items,Medical,,,Neuroleptics,
drugRemedyLunacyDesc,items,Medical,,,Neuroleptics reduce psychosis.,
drugBlunt,items,Medical,,,Blunt,
drugBluntDesc,items,Medical,,,Smoking plants is probably the oldest remedy for stress.,
foodBerserkerPorridge,items,Food,,,Berserker Porridge,
foodBerserkerPorridgeDesc,items,Food,,,Stew that makes the consumer pyschotic with rage - but at the cost of their health.,
thrownSemtex,items,Gun,,,Semtex (Ammo),
thrownSemtexDesc,items,Gun,,,Plastic explosive for major demolition.,
